id,sku,supplier,warehouse,supply_order_id,quantity,received_date,broken_quantity,broken_date,broken_stage
346,CAB-500,Supplier E,IL,346,173,2023-04-03,12,2023-04-08,field
347,ECU-500,Supplier C,TX,347,152,2023-04-15,11,2023-06-03,assembly
348,TIR-500,Supplier D,NY,348,161,2023-04-15,9,2023-06-05,receiving
349,PTO-500,Supplier C,TX,349,152,2023-04-08,5,2023-05-06,field
350,FUE-500,Supplier B,FL,350,163,2023-04-02,6,2023-07-04,receiving
351,ENG-100,Supplier B,IL,351,133,2023-04-23,5,2023-06-04,assembly
352,TRN-100,Supplier E,IL,352,148,2023-04-29,6,2023-05-11,assembly
353,HYD-100,Supplier A,NY,353,135,2023-04-24,8,2023-07-05,receiving
354,FAX-100,Supplier D,IL,354,145,2023-05-17,8,2023-08-20,assembly
355,RAX-100,Supplier D,FL,355,143,2023-04-25,2,2023-08-01,field
356,CAB-100,Supplier E,NY,356,144,2023-04-29,4,2023-06-12,assembly
357,ECU-100,Supplier A,IL,357,142,2023-04-30,7,2023-06-27,receiving
358,TIR-100,Supplier B,FL,358,142,2023-05-07,8,2023-06-14,assembly
359,PTO-100,Supplier C,TX,359,140,2023-05-24,9,2023-08-03,assembly
360,FUE-100,Supplier B,NY,360,151,2023-04-28,4,2023-07-20,assembly
361,ENG-200,Supplier B,NY,361,118,2023-04-24,4,2023-04-29,receiving
362,TRN-200,Supplier C,NY,362,131,2023-05-11,5,2023-07-10,receiving
363,HYD-200,Supplier C,NY,363,113,2023-05-23,5,2023-07-26,receiving
364,FAX-200,Supplier A,FL,364,123,2023-05-24,5,2023-07-25,receiving
365,RAX-200,Supplier B,TX,365,125,2023-04-21,5,2023-08-12,assembly
366,CAB-200,Supplier C,FL,366,133,2023-04-29,7,2023-07-22,field
367,ECU-200,Supplier C,CA,367,114,2023-05-17,4,2023-06-24,receiving
368,TIR-200,Supplier D,FL,368,117,2023-05-17,2,2023-07-21,assembly
369,PTO-200,Supplier D,NY,369,129,2023-05-01,3,2023-05-30,receiving
370,FUE-200,Supplier E,TX,370,129,2023-05-09,7,2023-05-25,receiving
371,ENG-300,Supplier D,IL,371,154,2023-05-04,5,2023-05-19,field
372,TRN-300,Supplier E,TX,372,183,2023-05-08,13,2023-08-04,field
373,HYD-300,Supplier E,CA,373,154,2023-04-22,13,2023-07-26,receiving
374,FAX-300,Supplier D,CA,374,171,2023-05-20,10,2023-06-08,assembly
375,RAX-300,Supplier B,FL,375,190,2023-04-24,10,2023-05-25,field
376,CAB-300,Supplier E,NY,376,166,2023-05-09,9,2023-08-24,receiving
377,ECU-300,Supplier A,TX,377,170,2023-05-01,12,2023-08-02,field
378,TIR-300,Supplier B,CA,378,181,2023-04-30,6,2023-08-08,field
379,PTO-300,Supplier D,TX,379,194,2023-04-27,13,2023-06-06,receiving
380,FUE-300,Supplier E,TX,380,174,2023-04-17,8,2023-06-21,assembly
381,ENG-400,Supplier B,CA,381,129,2023-05-06,5,2023-06-13,field
382,TRN-400,Supplier B,CA,382,133,2023-05-02,13,2023-07-20,field
383,HYD-400,Supplier E,FL,383,131,2023-05-20,19,2023-07-02,assembly
384,FAX-400,Supplier A,CA,384,130,2023-05-09,2,2023-05-09,field
385,RAX-400,Supplier D,NY,385,123,2023-04-24,4,2023-08-19,receiving
386,CAB-400,Supplier C,NY,386,120,2023-05-18,5,2023-07-20,assembly
387,ECU-400,Supplier C,FL,387,134,2023-05-09,7,2023-05-22,field
388,TIR-400,Supplier D,NY,388,136,2023-04-25,7,2023-06-12,field
389,PTO-400,Supplier D,FL,389,118,2023-05-16,5,2023-09-05,receiving
390,FUE-400,Supplier A,CA,390,117,2023-04-27,3,2023-07-24,field
391,ENG-500,Supplier D,NY,391,162,2023-05-02,12,2023-06-01,field
392,TRN-500,Supplier B,TX,392,157,2023-05-04,13,2023-06-29,assembly
393,HYD-500,Supplier C,IL,393,154,2023-05-18,7,2023-05-22,assembly
394,FAX-500,Supplier D,CA,394,164,2023-05-10,10,2023-07-06,receiving
395,RAX-500,Supplier D,IL,395,169,2023-05-11,11,2023-05-19,assembly
396,CAB-500,Supplier E,CA,396,158,2023-04-25,5,2023-07-12,assembly
397,ECU-500,Supplier E,FL,397,160,2023-04-27,6,2023-06-13,assembly
398,TIR-500,Supplier B,NY,398,144,2023-05-01,10,2023-06-08,receiving
399,PTO-500,Supplier C,NY,399,151,2023-05-17,7,2023-06-30,field
400,FUE-500,Supplier A,IL,400,172,2023-05-18,11,2023-08-08,field
401,ENG-100,Supplier B,CA,401,96,2023-06-05,4,2023-08-28,receiving
402,TRN-100,Supplier C,FL,402,90,2023-06-03,4,2023-07-10,receiving
403,HYD-100,Supplier A,CA,403,94,2023-06-04,4,2023-08-25,assembly
404,FAX-100,Supplier A,IL,404,98,2023-06-14,5,2023-08-24,receiving
405,RAX-100,Supplier D,CA,405,93,2023-05-25,0,,
406,CAB-100,Supplier C,IL,406,97,2023-06-02,8,2023-06-24,assembly
407,ECU-100,Supplier A,IL,407,89,2023-06-15,9,2023-08-12,assembly
408,TIR-100,Supplier B,FL,408,100,2023-06-02,5,2023-09-26,receiving
409,PTO-100,Supplier D,NY,409,94,2023-05-25,4,2023-09-13,field
410,FUE-100,Supplier E,NY,410,99,2023-06-12,5,2023-08-25,assembly
411,ENG-200,Supplier A,CA,411,125,2023-05-17,8,2023-08-29,assembly
412,TRN-200,Supplier B,IL,412,137,2023-06-03,6,2023-07-17,field
413,HYD-200,Supplier C,FL,413,124,2023-06-04,5,2023-09-18,field
414,FAX-200,Supplier A,IL,414,119,2023-06-21,4,2023-07-30,field
415,RAX-200,Supplier D,NY,415,124,2023-06-12,9,2023-09-21,assembly
416,CAB-200,Supplier C,CA,416,131,2023-06-02,5,2023-09-15,receiving
417,ECU-200,Supplier C,TX,417,126,2023-06-19,6,2023-09-09,receiving
418,TIR-200,Supplier D,IL,418,125,2023-06-05,4,2023-09-05,assembly
419,PTO-200,Supplier C,IL,419,140,2023-06-01,4,2023-09-18,receiving
420,FUE-200,Supplier E,NY,420,135,2023-05-30,3,2023-06-26,receiving
421,ENG-300,Supplier D,NY,421,114,2023-06-18,3,2023-07-20,assembly
422,TRN-300,Supplier B,NY,422,105,2023-06-01,4,2023-09-08,field
423,HYD-300,Supplier C,FL,423,104,2023-06-17,7,2023-08-16,field
424,FAX-300,Supplier A,IL,424,111,2023-06-19,5,2023-06-25,assembly
425,RAX-300,Supplier B,IL,425,107,2023-05-27,6,2023-07-02,assembly
426,CAB-300,Supplier E,CA,426,112,2023-05-24,1,2023-06-18,assembly
427,ECU-300,Supplier A,TX,427,96,2023-05-30,4,2023-09-12,field
428,TIR-300,Supplier B,CA,428,114,2023-06-03,7,2023-10-01,assembly
429,PTO-300,Supplier C,CA,429,120,2023-05-29,5,2023-08-31,assembly
430,FUE-300,Supplier E,FL,430,115,2023-06-01,0,,
431,ENG-400,Supplier B,FL,431,83,2023-05-28,2,2023-06-30,field
432,TRN-400,Supplier E,IL,432,92,2023-06-17,12,2023-07-08,field
433,HYD-400,Supplier C,FL,433,92,2023-06-09,2,2023-07-30,receiving
434,FAX-400,Supplier D,IL,434,93,2023-05-27,2,2023-06-23,receiving
435,RAX-400,Supplier B,FL,435,88,2023-05-31,3,2023-08-22,assembly
436,CAB-400,Supplier E,TX,436,88,2023-06-09,3,2023-08-11,receiving
437,ECU-400,Supplier A,NY,437,94,2023-06-06,3,2023-06-21,field
438,TIR-400,Supplier B,FL,438,91,2023-05-24,4,2023-08-07,assembly
439,PTO-400,Supplier D,FL,439,93,2023-06-18,3,2023-09-28,assembly
440,FUE-400,Supplier B,CA,440,88,2023-05-26,6,2023-07-29,field
441,ENG-500,Supplier A,CA,441,87,2023-05-26,5,2023-08-22,assembly
442,TRN-500,Supplier B,CA,442,76,2023-06-05,1,2023-09-27,receiving
443,HYD-500,Supplier A,TX,443,94,2023-06-11,6,2023-09-25,field
444,FAX-500,Supplier A,CA,444,88,2023-05-26,6,2023-06-06,assembly
445,RAX-500,Supplier D,TX,445,96,2023-06-23,5,2023-10-15,assembly
446,CAB-500,Supplier E,NY,446,75,2023-06-09,4,2023-07-19,receiving
447,ECU-500,Supplier A,CA,447,90,2023-06-04,3,2023-07-21,receiving
448,TIR-500,Supplier B,TX,448,88,2023-06-08,6,2023-08-07,receiving
449,PTO-500,Supplier D,IL,449,89,2023-05-30,5,2023-07-29,assembly
450,FUE-500,Supplier A,NY,450,81,2023-06-20,4,2023-09-09,field
451,ENG-100,Supplier B,IL,451,87,2023-07-07,3,2023-08-16,receiving
452,TRN-100,Supplier B,NY,452,83,2023-07-01,4,2023-10-10,receiving
453,HYD-100,Supplier C,NY,453,92,2023-07-21,5,2023-10-11,receiving
454,FAX-100,Supplier A,TX,454,97,2023-07-17,2,2023-09-03,field
455,RAX-100,Supplier B,FL,455,94,2023-07-02,0,,
456,CAB-100,Supplier E,CA,456,95,2023-07-15,3,2023-10-26,receiving
457,ECU-100,Supplier A,CA,457,93,2023-07-08,6,2023-10-24,receiving
458,TIR-100,Supplier D,CA,458,97,2023-06-28,4,2023-09-14,assembly
459,PTO-100,Supplier D,NY,459,93,2023-07-04,2,2023-08-30,receiving
460,FUE-100,Supplier A,IL,460,88,2023-07-15,1,2023-10-14,receiving
461,ENG-200,Supplier A,NY,461,79,2023-07-11,7,2023-08-17,field
462,TRN-200,Supplier C,FL,462,84,2023-07-03,3,2023-08-15,field
463,HYD-200,Supplier A,IL,463,80,2023-06-21,5,2023-07-30,receiving
464,FAX-200,Supplier D,NY,464,81,2023-07-03,7,2023-08-09,assembly
465,RAX-200,Supplier B,FL,465,88,2023-06-20,4,2023-08-10,field
466,CAB-200,Supplier C,TX,466,75,2023-07-05,7,2023-07-06,assembly
467,ECU-200,Supplier C,IL,467,77,2023-06-21,4,2023-06-21,receiving
468,TIR-200,Supplier B,IL,468,76,2023-07-09,1,2023-10-01,assembly
469,PTO-200,Supplier D,NY,469,73,2023-07-20,5,2023-09-13,receiving
470,FUE-200,Supplier E,FL,470,78,2023-07-03,6,2023-07-09,receiving
471,ENG-300,Supplier A,CA,471,75,2023-06-27,2,2023-10-01,assembly
472,TRN-300,Supplier B,IL,472,70,2023-07-06,4,2023-09-26,receiving
473,HYD-300,Supplier A,FL,473,78,2023-07-05,5,2023-08-05,receiving
474,FAX-300,Supplier D,IL,474,74,2023-06-23,4,2023-08-24,receiving
475,RAX-300,Supplier B,IL,475,74,2023-07-01,4,2023-08-17,assembly
476,CAB-300,Supplier E,CA,476,67,2023-07-21,4,2023-09-07,field
477,ECU-300,Supplier A,FL,477,66,2023-07-08,4,2023-10-11,field
478,TIR-300,Supplier D,IL,478,72,2023-07-01,5,2023-08-11,field
479,PTO-300,Supplier C,IL,479,78,2023-06-20,4,2023-07-06,assembly
480,FUE-300,Supplier A,TX,480,78,2023-07-04,3,2023-09-02,assembly
481,ENG-400,Supplier B,CA,481,99,2023-07-09,8,2023-11-03,field
482,TRN-400,Supplier C,IL,482,89,2023-07-08,7,2023-11-02,assembly
483,HYD-400,Supplier E,TX,483,98,2023-07-10,15,2023-09-12,assembly
484,FAX-400,Supplier D,FL,484,104,2023-06-28,7,2023-07-30,assembly
485,RAX-400,Supplier D,NY,485,102,2023-06-27,7,2023-09-08,field
486,CAB-400,Supplier E,TX,486,105,2023-07-09,5,2023-09-29,field
487,ECU-400,Supplier A,FL,487,94,2023-07-07,4,2023-07-20,receiving
488,TIR-400,Supplier D,IL,488,103,2023-07-01,3,2023-07-11,field
489,PTO-400,Supplier C,FL,489,101,2023-07-05,10,2023-10-13,field
490,FUE-400,Supplier E,FL,490,111,2023-07-10,8,2023-09-05,assembly
491,ENG-500,Supplier D,CA,491,97,2023-07-13,1,2023-11-02,assembly
492,TRN-500,Supplier B,FL,492,101,2023-06-30,9,2023-08-27,receiving
493,HYD-500,Supplier C,TX,493,104,2023-07-06,3,2023-10-19,receiving
494,FAX-500,Supplier D,IL,494,109,2023-06-29,5,2023-08-29,field
495,RAX-500,Supplier B,NY,495,103,2023-07-05,5,2023-07-16,field
496,CAB-500,Supplier C,IL,496,104,2023-07-05,5,2023-09-25,receiving
497,ECU-500,Supplier A,FL,497,103,2023-07-08,5,2023-08-11,field
498,TIR-500,Supplier D,CA,498,101,2023-07-18,3,2023-10-26,field
499,PTO-500,Supplier C,IL,499,105,2023-07-07,8,2023-07-28,receiving
500,FUE-500,Supplier A,TX,500,102,2023-07-13,3,2023-09-07,field
501,ENG-100,Supplier D,NY,501,140,2023-08-02,10,2023-11-16,assembly
502,TRN-100,Supplier B,TX,502,165,2023-07-31,6,2023-11-01,receiving
503,HYD-100,Supplier C,TX,503,142,2023-08-18,8,2023-09-27,field
504,FAX-100,Supplier A,NY,504,140,2023-08-07,3,2023-10-31,field
505,RAX-100,Supplier B,FL,505,137,2023-07-25,5,2023-11-20,receiving
506,CAB-100,Supplier E,CA,506,141,2023-08-15,6,2023-08-25,assembly
507,ECU-100,Supplier C,TX,507,141,2023-08-16,4,2023-09-15,receiving
508,TIR-100,Supplier D,FL,508,146,2023-08-18,11,2023-09-26,receiving
509,PTO-100,Supplier C,TX,509,138,2023-08-06,8,2023-11-29,assembly
510,FUE-100,Supplier E,TX,510,141,2023-08-14,6,2023-09-01,assembly
511,ENG-200,Supplier A,IL,511,72,2023-08-01,2,2023-09-21,assembly
512,TRN-200,Supplier E,NY,512,68,2023-08-03,3,2023-09-22,field
513,HYD-200,Supplier C,TX,513,74,2023-08-06,3,2023-08-27,receiving
514,FAX-200,Supplier D,CA,514,77,2023-08-16,3,2023-08-17,field
515,RAX-200,Supplier D,TX,515,75,2023-08-05,5,2023-10-17,assembly
516,CAB-200,Supplier C,CA,516,72,2023-08-03,4,2023-09-09,receiving
517,ECU-200,Supplier C,TX,517,73,2023-08-21,1,2023-11-30,assembly
518,TIR-200,Supplier B,CA,518,70,2023-08-09,8,2023-09-06,receiving
519,PTO-200,Supplier C,IL,519,83,2023-08-14,9,2023-11-22,field
520,FUE-200,Supplier E,IL,520,77,2023-08-11,4,2023-08-15,assembly
521,ENG-300,Supplier B,CA,521,77,2023-07-22,2,2023-10-23,receiving
522,TRN-300,Supplier C,IL,522,84,2023-08-14,5,2023-08-27,assembly
523,HYD-300,Supplier E,CA,523,83,2023-08-02,9,2023-11-24,field
524,FAX-300,Supplier A,CA,524,84,2023-08-13,6,2023-08-17,field
525,RAX-300,Supplier D,FL,525,76,2023-07-25,6,2023-09-19,field
526,CAB-300,Supplier E,CA,526,87,2023-08-09,7,2023-09-01,assembly
527,ECU-300,Supplier E,TX,527,87,2023-07-25,6,2023-09-08,receiving
528,TIR-300,Supplier B,FL,528,84,2023-07-25,5,2023-10-03,assembly
529,PTO-300,Supplier C,TX,529,78,2023-08-10,2,2023-11-26,assembly
530,FUE-300,Supplier A,CA,530,85,2023-08-10,5,2023-11-03,assembly
531,ENG-400,Supplier B,NY,531,101,2023-07-18,3,2023-10-15,assembly
532,TRN-400,Supplier B,IL,532,98,2023-08-02,7,2023-08-10,receiving
533,HYD-400,Supplier C,TX,533,91,2023-08-04,5,2023-10-16,assembly
534,FAX-400,Supplier A,CA,534,110,2023-08-10,4,2023-09-18,assembly
535,RAX-400,Supplier B,IL,535,103,2023-08-09,5,2023-09-22,field
536,CAB-400,Supplier E,NY,536,105,2023-08-04,4,2023-09-01,receiving
537,ECU-400,Supplier A,CA,537,103,2023-07-29,6,2023-09-03,receiving
538,TIR-400,Supplier B,NY,538,100,2023-08-05,1,2023-09-12,assembly
539,PTO-400,Supplier D,CA,539,99,2023-08-21,7,2023-09-01,receiving
540,FUE-400,Supplier E,TX,540,106,2023-08-15,0,,
541,ENG-500,Supplier B,TX,541,125,2023-08-01,4,2023-09-11,field
542,TRN-500,Supplier E,FL,542,114,2023-07-30,7,2023-08-05,field
543,HYD-500,Supplier A,IL,543,141,2023-08-12,10,2023-11-21,field
544,FAX-500,Supplier D,FL,544,139,2023-08-10,8,2023-08-28,receiving
545,RAX-500,Supplier D,FL,545,144,2023-07-29,6,2023-10-10,field
546,CAB-500,Supplier E,TX,546,134,2023-08-24,4,2023-09-29,assembly
547,ECU-500,Supplier A,CA,547,140,2023-07-25,5,2023-07-30,assembly
548,TIR-500,Supplier D,CA,548,131,2023-08-20,10,2023-09-09,assembly
549,PTO-500,Supplier C,CA,549,133,2023-08-09,6,2023-08-10,assembly
550,FUE-500,Supplier A,TX,550,120,2023-08-20,9,2023-12-02,assembly
551,ENG-100,Supplier A,NY,551,99,2023-09-20,2,2024-01-15,field
552,TRN-100,Supplier B,NY,552,107,2023-08-25,4,2023-10-29,receiving
553,HYD-100,Supplier C,CA,553,99,2023-09-20,10,2023-11-14,receiving
554,FAX-100,Supplier A,NY,554,120,2023-08-18,8,2023-10-20,assembly
555,RAX-100,Supplier D,TX,555,96,2023-09-16,4,2023-09-28,assembly
556,CAB-100,Supplier C,CA,556,95,2023-09-07,7,2023-10-30,receiving
557,ECU-100,Supplier E,NY,557,91,2023-09-03,6,2023-09-28,receiving
558,TIR-100,Supplier D,CA,558,111,2023-09-02,11,2023-10-26,assembly
559,PTO-100,Supplier C,IL,559,98,2023-09-10,9,2023-10-12,assembly
560,FUE-100,Supplier E,FL,560,111,2023-09-15,3,2023-11-19,field
561,ENG-200,Supplier A,IL,561,94,2023-09-05,9,2023-11-19,receiving
562,TRN-200,Supplier B,CA,562,96,2023-09-01,2,2023-11-16,receiving
563,HYD-200,Supplier C,NY,563,83,2023-09-23,5,2023-11-19,assembly
564,FAX-200,Supplier D,TX,564,94,2023-08-31,9,2023-09-21,receiving
565,RAX-200,Supplier B,FL,565,93,2023-08-28,4,2023-11-15,field
566,CAB-200,Supplier E,IL,566,90,2023-09-05,5,2023-10-10,assembly
567,ECU-200,Supplier C,CA,567,97,2023-08-31,10,2023-12-17,receiving
568,TIR-200,Supplier B,CA,568,100,2023-09-02,5,2023-11-30,receiving
569,PTO-200,Supplier D,TX,569,89,2023-08-24,3,2023-09-11,assembly
570,FUE-200,Supplier E,CA,570,100,2023-08-22,3,2023-09-20,receiving
571,ENG-300,Supplier D,IL,571,128,2023-09-21,8,2024-01-04,assembly
572,TRN-300,Supplier B,TX,572,127,2023-08-22,5,2023-11-23,assembly
573,HYD-300,Supplier C,FL,573,116,2023-09-14,3,2023-12-17,assembly
574,FAX-300,Supplier D,FL,574,107,2023-09-20,6,2023-12-27,field
575,RAX-300,Supplier D,TX,575,123,2023-08-27,5,2023-09-20,assembly
576,CAB-300,Supplier E,TX,576,125,2023-09-02,10,2023-11-11,assembly
577,ECU-300,Supplier A,NY,577,126,2023-08-17,4,2023-09-11,field
578,TIR-300,Supplier D,IL,578,113,2023-08-30,3,2023-12-18,field
579,PTO-300,Supplier C,TX,579,119,2023-08-29,6,2023-12-17,field
580,FUE-300,Supplier B,NY,580,123,2023-08-28,4,2023-12-04,field
581,ENG-400,Supplier A,TX,581,126,2023-09-05,9,2023-10-28,field
582,TRN-400,Supplier B,CA,582,130,2023-08-29,12,2023-11-17,receiving
583,HYD-400,Supplier C,IL,583,137,2023-08-24,7,2023-09-24,receiving
584,FAX-400,Supplier D,FL,584,121,2023-09-08,8,2023-10-24,receiving
585,RAX-400,Supplier D,TX,585,117,2023-08-21,7,2023-09-19,field
586,CAB-400,Supplier E,FL,586,119,2023-09-16,7,2023-11-28,assembly
587,ECU-400,Supplier A,IL,587,128,2023-09-14,6,2023-09-14,receiving
588,TIR-400,Supplier D,NY,588,130,2023-08-25,7,2023-11-26,assembly
589,PTO-400,Supplier D,FL,589,145,2023-08-22,3,2023-12-01,assembly
590,FUE-400,Supplier E,TX,590,128,2023-08-27,6,2023-09-05,assembly
591,ENG-500,Supplier A,TX,591,127,2023-08-31,8,2023-11-26,field
592,TRN-500,Supplier B,NY,592,133,2023-08-26,8,2023-12-19,receiving
593,HYD-500,Supplier E,CA,593,121,2023-09-10,15,2023-10-25,assembly
594,FAX-500,Supplier A,TX,594,133,2023-09-16,6,2023-12-27,assembly
595,RAX-500,Supplier B,IL,595,124,2023-08-19,6,2023-10-09,field
596,CAB-500,Supplier C,CA,596,136,2023-09-18,7,2023-09-25,assembly
597,ECU-500,Supplier C,IL,597,122,2023-08-19,7,2023-09-10,receiving
598,TIR-500,Supplier D,TX,598,140,2023-09-16,11,2023-12-20,field
599,PTO-500,Supplier C,FL,599,135,2023-09-15,10,2023-10-16,receiving
600,FUE-500,Supplier E,TX,600,125,2023-09-17,8,2024-01-13,field
601,ENG-100,Supplier A,TX,601,150,2023-10-16,10,2023-10-18,receiving
602,TRN-100,Supplier B,FL,602,145,2023-10-07,9,2024-01-31,field
603,HYD-100,Supplier C,CA,603,148,2023-10-10,3,2024-01-20,field
604,FAX-100,Supplier D,NY,604,149,2023-10-11,9,2023-12-03,receiving
605,RAX-100,Supplier D,FL,605,155,2023-10-04,5,2024-01-26,field
606,CAB-100,Supplier C,FL,606,147,2023-10-16,11,2023-12-26,assembly
607,ECU-100,Supplier A,CA,607,160,2023-10-02,8,2023-10-23,assembly
608,TIR-100,Supplier B,CA,608,160,2023-09-25,14,2023-11-24,field
609,PTO-100,Supplier D,CA,609,156,2023-10-08,6,2024-01-10,receiving
610,FUE-100,Supplier E,FL,610,153,2023-10-19,6,2023-11-03,field
611,ENG-200,Supplier B,TX,611,164,2023-09-28,8,2023-11-26,field
612,TRN-200,Supplier B,TX,612,151,2023-10-04,8,2023-12-04,assembly
613,HYD-200,Supplier E,IL,613,154,2023-09-21,20,2023-11-07,assembly
614,FAX-200,Supplier D,TX,614,166,2023-10-09,12,2023-11-12,assembly
615,RAX-200,Supplier B,NY,615,147,2023-10-13,7,2023-11-18,assembly
616,CAB-200,Supplier E,CA,616,158,2023-09-30,3,2024-01-21,receiving
617,ECU-200,Supplier A,TX,617,147,2023-10-19,7,2024-01-25,assembly
618,TIR-200,Supplier B,NY,618,158,2023-10-04,5,2023-12-31,field
619,PTO-200,Supplier D,IL,619,157,2023-10-20,9,2023-10-27,assembly
620,FUE-200,Supplier A,NY,620,144,2023-10-20,2,2024-02-02,assembly
621,ENG-300,Supplier A,TX,621,157,2023-10-09,7,2023-12-13,field
622,TRN-300,Supplier B,TX,622,173,2023-09-24,6,2023-10-08,receiving
623,HYD-300,Supplier C,NY,623,168,2023-10-19,9,2024-01-10,receiving
624,FAX-300,Supplier D,CA,624,174,2023-10-04,8,2023-12-20,assembly
625,RAX-300,Supplier B,FL,625,177,2023-10-03,5,2023-11-24,receiving
626,CAB-300,Supplier E,CA,626,160,2023-09-25,11,2024-01-02,receiving
627,ECU-300,Supplier C,IL,627,156,2023-10-05,4,2023-10-27,assembly
628,TIR-300,Supplier D,CA,628,162,2023-09-22,11,2023-11-18,receiving
629,PTO-300,Supplier C,FL,629,194,2023-10-16,8,2023-12-24,receiving
630,FUE-300,Supplier A,CA,630,173,2023-10-02,8,2023-11-16,assembly
631,ENG-400,Supplier D,NY,631,105,2023-10-15,3,2024-02-03,receiving
632,TRN-400,Supplier B,FL,632,118,2023-09-26,9,2023-12-23,field
633,HYD-400,Supplier C,IL,633,117,2023-10-05,9,2023-12-02,receiving
634,FAX-400,Supplier A,FL,634,102,2023-09-25,6,2023-11-22,assembly
635,RAX-400,Supplier B,TX,635,112,2023-10-04,8,2024-02-01,receiving
636,CAB-400,Supplier C,IL,636,119,2023-10-12,7,2023-12-22,assembly
637,ECU-400,Supplier A,NY,637,102,2023-10-08,6,2024-02-03,field
638,TIR-400,Supplier B,CA,638,119,2023-09-24,4,2023-12-19,field
639,PTO-400,Supplier C,FL,639,104,2023-10-11,7,2023-11-06,assembly
640,FUE-400,Supplier A,FL,640,103,2023-10-15,4,2023-10-19,receiving
641,ENG-500,Supplier B,CA,641,151,2023-10-03,6,2024-01-08,assembly
642,TRN-500,Supplier E,TX,642,134,2023-09-25,5,2024-01-04,receiving
643,HYD-500,Supplier A,CA,643,132,2023-09-29,5,2023-12-11,field
644,FAX-500,Supplier D,CA,644,138,2023-10-24,1,2023-10-24,field
645,RAX-500,Supplier D,CA,645,141,2023-09-22,5,2024-01-17,assembly
646,CAB-500,Supplier C,IL,646,140,2023-10-17,3,2023-12-01,receiving
647,ECU-500,Supplier A,CA,647,133,2023-10-13,11,2023-10-20,assembly
648,TIR-500,Supplier B,TX,648,135,2023-10-03,7,2023-11-13,field
649,PTO-500,Supplier C,CA,649,136,2023-09-28,11,2024-01-26,field
650,FUE-500,Supplier A,FL,650,118,2023-09-22,7,2023-11-17,receiving
651,ENG-100,Supplier B,CA,651,88,2023-11-03,6,2024-02-03,receiving
652,TRN-100,Supplier E,CA,652,98,2023-10-17,0,,
653,HYD-100,Supplier C,IL,653,100,2023-11-15,2,2024-02-01,assembly
654,FAX-100,Supplier A,CA,654,96,2023-11-16,6,2024-01-11,assembly
655,RAX-100,Supplier D,IL,655,92,2023-11-14,6,2023-11-24,field
656,CAB-100,Supplier E,TX,656,106,2023-10-29,2,2023-12-31,receiving
657,ECU-100,Supplier C,NY,657,116,2023-11-17,3,2024-02-05,assembly
658,TIR-100,Supplier B,NY,658,96,2023-10-30,5,2023-11-25,assembly
659,PTO-100,Supplier D,FL,659,103,2023-12-06,3,2024-02-20,field
660,FUE-100,Supplier E,IL,660,103,2023-11-07,1,2023-12-01,field
661,ENG-200,Supplier B,CA,661,129,2023-11-06,9,2023-12-21,assembly
662,TRN-200,Supplier B,TX,662,130,2023-11-03,10,2024-02-17,field
663,HYD-200,Supplier E,IL,663,138,2023-11-14,14,2023-12-03,field
664,FAX-200,Supplier A,NY,664,131,2023-11-08,4,2023-11-25,assembly
665,RAX-200,Supplier D,IL,665,128,2023-11-14,4,2024-02-13,assembly
666,CAB-200,Supplier E,TX,666,115,2023-10-23,10,2023-12-05,receiving
667,ECU-200,Supplier A,CA,667,130,2023-11-05,5,2024-01-11,receiving
668,TIR-200,Supplier D,IL,668,133,2023-11-10,2,2024-01-07,assembly
669,PTO-200,Supplier C,TX,669,134,2023-11-09,6,2023-12-18,assembly
670,FUE-200,Supplier B,IL,670,123,2023-10-23,4,2023-12-25,assembly
671,ENG-300,Supplier A,CA,671,78,2023-11-13,4,2024-02-04,assembly
672,TRN-300,Supplier E,CA,672,74,2023-10-30,0,,
673,HYD-300,Supplier E,IL,673,79,2023-11-03,16,2024-01-21,field
674,FAX-300,Supplier A,FL,674,75,2023-11-22,1,2024-02-20,receiving
675,RAX-300,Supplier B,FL,675,78,2023-10-28,6,2024-02-25,field
676,CAB-300,Supplier C,TX,676,72,2023-11-09,2,2024-01-16,field
677,ECU-300,Supplier C,CA,677,70,2023-10-30,4,2024-01-10,receiving
678,TIR-300,Supplier B,FL,678,78,2023-10-26,5,2024-02-18,assembly
679,PTO-300,Supplier C,IL,679,80,2023-11-12,6,2024-02-16,field
680,FUE-300,Supplier E,NY,680,81,2023-11-12,8,2023-12-14,field
681,ENG-400,Supplier B,TX,681,106,2023-11-06,0,,
682,TRN-400,Supplier C,NY,682,101,2023-11-18,8,2024-03-12,assembly
683,HYD-400,Supplier A,IL,683,97,2023-11-09,7,2024-02-21,assembly
684,FAX-400,Supplier D,IL,684,99,2023-11-03,3,2023-12-21,field
685,RAX-400,Supplier B,NY,685,98,2023-10-20,11,2023-12-17,receiving
686,CAB-400,Supplier E,TX,686,97,2023-11-05,4,2023-12-24,receiving
687,ECU-400,Supplier A,FL,687,96,2023-11-08,3,2024-01-04,field
688,TIR-400,Supplier B,TX,688,84,2023-10-23,13,2024-01-18,assembly
689,PTO-400,Supplier C,CA,689,98,2023-11-05,1,2023-12-13,assembly
690,FUE-400,Supplier A,CA,690,98,2023-11-05,8,2023-12-08,field
691,ENG-500,Supplier A,NY,691,65,2023-11-09,3,2024-02-15,assembly
