id,sku,supplier,warehouse,quantity,unit_price,date_ordered,promised_date,fulfilled_date,status
581,ENG-400,Supplier A,TX,126,42400,2023-07-17,2023-08-21,2023-09-05,fulfilled
582,TRN-400,Supplier B,CA,130,28355,2023-07-27,2023-08-26,2023-08-29,fulfilled
583,HYD-400,Supplier C,IL,137,9182.25,2023-07-29,2023-08-19,2023-08-24,fulfilled
584,FAX-400,Supplier D,FL,121,10070,2023-07-25,2023-08-19,2023-09-08,fulfilled
585,RAX-400,Supplier D,TX,117,12587.5,2023-07-25,2023-08-19,2023-08-21,fulfilled
586,CAB-400,Supplier E,FL,119,17993.5,2023-07-24,2023-08-21,2023-09-16,fulfilled
587,ECU-400,Supplier A,IL,128,3975,2023-07-30,2023-08-17,2023-09-14,fulfilled
588,TIR-400,Supplier D,NY,130,6293.75,2023-08-02,2023-08-19,2023-08-25,fulfilled
589,PTO-400,Supplier D,FL,145,5035,2023-07-26,2023-08-19,2023-08-22,fulfilled
590,FUE-400,Supplier E,TX,128,3084.6,2023-08-10,2023-08-26,2023-08-27,fulfilled
591,ENG-500,Supplier A,TX,127,76800,2023-07-14,2023-08-18,2023-08-31,fulfilled
592,TRN-500,Supplier B,NY,133,51360,2023-07-25,2023-08-24,2023-08-26,fulfilled
593,HYD-500,Supplier E,CA,121,16296,2023-08-02,2023-08-26,2023-09-10,fulfilled
594,FAX-500,Supplier A,TX,133,19200,2023-07-22,2023-08-19,2023-09-16,fulfilled
595,RAX-500,Supplier B,IL,124,25680,2023-07-21,2023-08-18,2023-08-19,fulfilled
596,CAB-500,Supplier C,CA,136,33264,2023-07-27,2023-08-27,2023-09-18,fulfilled
597,ECU-500,Supplier C,IL,122,7128,2023-07-27,2023-08-17,2023-08-19,fulfilled
598,TIR-500,Supplier D,TX,140,11400,2023-08-04,2023-08-21,2023-09-16,fulfilled
599,PTO-500,Supplier C,FL,135,9504,2023-08-02,2023-08-23,2023-09-15,fulfilled
600,FUE-500,Supplier E,TX,125,5587.2,2023-08-08,2023-08-24,2023-09-17,fulfilled
601,ENG-100,Supplier A,TX,150,4480,2023-08-15,2023-09-19,2023-10-16,fulfilled
602,TRN-100,Supplier B,FL,145,2996,2023-08-22,2023-09-21,2023-10-07,fulfilled
603,HYD-100,Supplier C,CA,148,970.2,2023-08-30,2023-09-20,2023-10-10,fulfilled
604,FAX-100,Supplier D,NY,149,1064,2023-08-31,2023-09-25,2023-10-11,fulfilled
605,RAX-100,Supplier D,FL,155,1330,2023-08-24,2023-09-18,2023-10-04,fulfilled
606,CAB-100,Supplier C,FL,147,1940.4,2023-08-26,2023-09-26,2023-10-16,fulfilled
607,ECU-100,Supplier A,CA,160,420,2023-09-02,2023-09-20,2023-10-02,fulfilled
608,TIR-100,Supplier B,CA,160,749,2023-09-07,2023-09-21,2023-09-25,fulfilled
609,PTO-100,Supplier D,CA,156,532,2023-09-02,2023-09-26,2023-10-08,fulfilled
610,FUE-100,Supplier E,FL,153,325.92,2023-09-10,2023-09-26,2023-10-19,fulfilled
611,ENG-200,Supplier B,TX,164,9929.6,2023-08-19,2023-09-26,2023-09-28,fulfilled
612,TRN-200,Supplier B,TX,151,6206,2023-08-24,2023-09-23,2023-10-04,fulfilled
613,HYD-200,Supplier E,IL,154,1969.1,2023-08-27,2023-09-20,2023-09-21,fulfilled
614,FAX-200,Supplier D,TX,166,2204,2023-08-27,2023-09-21,2023-10-09,fulfilled
615,RAX-200,Supplier B,NY,147,3103,2023-08-29,2023-09-26,2023-10-13,fulfilled
616,CAB-200,Supplier E,CA,158,3938.2,2023-08-27,2023-09-24,2023-09-30,fulfilled
617,ECU-200,Supplier A,TX,147,870,2023-09-06,2023-09-24,2023-10-19,fulfilled
618,TIR-200,Supplier B,NY,158,1551.5,2023-09-11,2023-09-25,2023-10-04,fulfilled
619,PTO-200,Supplier D,IL,157,1102,2023-09-01,2023-09-25,2023-10-20,fulfilled
620,FUE-200,Supplier A,NY,144,696,2023-09-04,2023-09-23,2023-10-20,fulfilled
621,ENG-300,Supplier A,TX,157,23200,2023-08-12,2023-09-16,2023-10-09,fulfilled
622,TRN-300,Supplier B,TX,173,15515,2023-08-20,2023-09-19,2023-09-24,fulfilled
623,HYD-300,Supplier C,NY,168,5024.25,2023-09-04,2023-09-25,2023-10-19,fulfilled
624,FAX-300,Supplier D,CA,174,5510,2023-08-24,2023-09-18,2023-10-04,fulfilled
625,RAX-300,Supplier B,FL,177,7757.5,2023-08-27,2023-09-24,2023-10-03,fulfilled
626,CAB-300,Supplier E,CA,160,9845.5,2023-08-28,2023-09-25,2023-09-25,fulfilled
627,ECU-300,Supplier C,IL,156,2153.25,2023-09-02,2023-09-23,2023-10-05,fulfilled
628,TIR-300,Supplier D,CA,162,3443.75,2023-09-01,2023-09-18,2023-09-22,fulfilled
629,PTO-300,Supplier C,FL,194,2871,2023-08-31,2023-09-21,2023-10-16,fulfilled
630,FUE-300,Supplier A,CA,173,1740,2023-08-29,2023-09-17,2023-10-02,fulfilled
631,ENG-400,Supplier D,NY,105,40280,2023-08-08,2023-09-18,2023-10-15,fulfilled
632,TRN-400,Supplier B,FL,118,28355,2023-08-22,2023-09-21,2023-09-26,fulfilled
633,HYD-400,Supplier C,IL,117,9182.25,2023-09-02,2023-09-23,2023-10-05,fulfilled
634,FAX-400,Supplier A,FL,102,10600,2023-08-25,2023-09-22,2023-09-25,fulfilled
635,RAX-400,Supplier B,TX,112,14177.5,2023-08-29,2023-09-26,2023-10-04,fulfilled
636,CAB-400,Supplier C,IL,119,18364.5,2023-08-24,2023-09-24,2023-10-12,fulfilled
637,ECU-400,Supplier A,NY,102,3975,2023-09-02,2023-09-20,2023-10-08,fulfilled
638,TIR-400,Supplier B,CA,119,7088.75,2023-09-08,2023-09-22,2023-09-24,fulfilled
639,PTO-400,Supplier C,FL,104,5247,2023-08-26,2023-09-16,2023-10-11,fulfilled
640,FUE-400,Supplier A,FL,103,3180,2023-09-04,2023-09-23,2023-10-15,fulfilled
641,ENG-500,Supplier B,CA,151,82176,2023-08-09,2023-09-16,2023-10-03,fulfilled
642,TRN-500,Supplier E,TX,134,46560,2023-08-19,2023-09-24,2023-09-25,fulfilled
643,HYD-500,Supplier A,CA,132,16800,2023-08-21,2023-09-17,2023-09-29,fulfilled
644,FAX-500,Supplier D,CA,138,18240,2023-08-31,2023-09-25,2023-10-24,fulfilled
645,RAX-500,Supplier D,CA,141,22800,2023-08-22,2023-09-16,2023-09-22,fulfilled
646,CAB-500,Supplier C,IL,140,33264,2023-08-22,2023-09-22,2023-10-17,fulfilled
647,ECU-500,Supplier A,CA,133,7200,2023-09-03,2023-09-21,2023-10-13,fulfilled
648,TIR-500,Supplier B,TX,135,12840,2023-09-08,2023-09-22,2023-10-03,fulfilled
649,PTO-500,Supplier C,CA,136,9504,2023-08-26,2023-09-16,2023-09-28,fulfilled
650,FUE-500,Supplier A,FL,118,5760,2023-08-31,2023-09-19,2023-09-22,fulfilled
651,ENG-100,Supplier B,CA,88,4793.6,2023-09-17,2023-10-25,2023-11-03,fulfilled
652,TRN-100,Supplier E,CA,98,2716,2023-09-11,2023-10-17,2023-10-17,fulfilled
653,HYD-100,Supplier C,IL,100,970.2,2023-10-06,2023-10-27,2023-11-15,fulfilled
654,FAX-100,Supplier A,CA,96,1120,2023-09-27,2023-10-25,2023-11-16,fulfilled
655,RAX-100,Supplier D,IL,92,1330,2023-09-26,2023-10-21,2023-11-14,fulfilled
656,CAB-100,Supplier E,TX,106,1901.2,2023-09-28,2023-10-26,2023-10-29,fulfilled
657,ECU-100,Supplier C,NY,116,415.8,2023-10-04,2023-10-25,2023-11-17,fulfilled
658,TIR-100,Supplier B,NY,96,749,2023-10-09,2023-10-23,2023-10-30,fulfilled
659,PTO-100,Supplier D,FL,103,532,2023-10-02,2023-10-26,2023-12-06,fulfilled
660,FUE-100,Supplier E,IL,103,325.92,2023-10-02,2023-10-18,2023-11-07,fulfilled
661,ENG-200,Supplier B,CA,129,9929.6,2023-09-18,2023-10-26,2023-11-06,fulfilled
662,TRN-200,Supplier B,TX,130,6206,2023-09-23,2023-10-23,2023-11-03,fulfilled
663,HYD-200,Supplier E,IL,138,1969.1,2023-09-23,2023-10-17,2023-11-14,fulfilled
664,FAX-200,Supplier A,NY,131,2320,2023-09-19,2023-10-17,2023-11-08,fulfilled
665,RAX-200,Supplier D,IL,128,2755,2023-09-22,2023-10-17,2023-11-14,fulfilled
666,CAB-200,Supplier E,TX,115,3938.2,2023-09-21,2023-10-19,2023-10-23,fulfilled
667,ECU-200,Supplier A,CA,130,870,2023-10-03,2023-10-21,2023-11-05,fulfilled
668,TIR-200,Supplier D,IL,133,1377.5,2023-10-04,2023-10-21,2023-11-10,fulfilled
669,PTO-200,Supplier C,TX,134,1148.4,2023-10-01,2023-10-22,2023-11-09,fulfilled
670,FUE-200,Supplier B,IL,123,744.72,2023-09-30,2023-10-22,2023-10-23,fulfilled
671,ENG-300,Supplier A,CA,78,23200,2023-09-16,2023-10-21,2023-11-13,fulfilled
672,TRN-300,Supplier E,CA,74,14065,2023-09-19,2023-10-25,2023-10-30,fulfilled
673,HYD-300,Supplier E,IL,79,4922.75,2023-09-24,2023-10-18,2023-11-03,fulfilled
674,FAX-300,Supplier A,FL,75,5800,2023-09-27,2023-10-25,2023-11-22,fulfilled
675,RAX-300,Supplier B,FL,78,7757.5,2023-09-20,2023-10-18,2023-10-28,fulfilled
676,CAB-300,Supplier C,TX,72,10048.5,2023-09-25,2023-10-26,2023-11-09,fulfilled
677,ECU-300,Supplier C,CA,70,2153.25,2023-10-05,2023-10-26,2023-10-30,fulfilled
678,TIR-300,Supplier B,FL,78,3878.75,2023-10-07,2023-10-21,2023-10-26,fulfilled
679,PTO-300,Supplier C,IL,80,2871,2023-10-04,2023-10-25,2023-11-12,fulfilled
680,FUE-300,Supplier E,NY,81,1687.8,2023-10-06,2023-10-22,2023-11-12,fulfilled
681,ENG-400,Supplier B,TX,106,45368,2023-09-18,2023-10-26,2023-11-06,fulfilled
682,TRN-400,Supplier C,NY,101,26235,2023-09-24,2023-10-27,2023-11-18,fulfilled
683,HYD-400,Supplier A,IL,97,9275,2023-09-28,2023-10-25,2023-11-09,fulfilled
684,FAX-400,Supplier D,IL,99,10070,2023-10-02,2023-10-27,2023-11-03,fulfilled
685,RAX-400,Supplier B,NY,98,14177.5,2023-09-20,2023-10-18,2023-10-20,fulfilled
686,CAB-400,Supplier E,TX,97,17993.5,2023-09-21,2023-10-19,2023-11-05,fulfilled
687,ECU-400,Supplier A,FL,96,3975,2023-10-02,2023-10-20,2023-11-08,fulfilled
688,TIR-400,Supplier B,TX,84,7088.75,2023-10-04,2023-10-18,2023-10-23,fulfilled
689,PTO-400,Supplier C,CA,98,5247,2023-09-29,2023-10-20,2023-11-05,fulfilled
690,FUE-400,Supplier A,CA,98,3180,2023-10-03,2023-10-22,2023-11-05,fulfilled
691,ENG-500,Supplier A,NY,65,76800,2023-09-17,2023-10-22,2023-11-09,fulfilled
692,TRN-500,Supplier B,TX,67,51360,2023-09-20,2023-10-20,2023-10-31,fulfilled
693,HYD-500,Supplier C,TX,63,16632,2023-09-30,2023-10-21,2023-11-13,fulfilled
694,FAX-500,Supplier A,FL,65,19200,2023-09-21,2023-10-19,2023-10-27,fulfilled
695,RAX-500,Supplier D,IL,67,22800,2023-09-27,2023-10-22,2023-11-02,fulfilled
696,CAB-500,Supplier E,IL,57,32592,2023-09-19,2023-10-17,2023-11-14,fulfilled
697,ECU-500,Supplier C,TX,69,7128,2023-09-30,2023-10-21,2023-11-14,fulfilled
698,TIR-500,Supplier D,IL,73,11400,2023-10-09,2023-10-26,2023-11-22,fulfilled
699,PTO-500,Supplier C,IL,65,9504,2023-10-05,2023-10-26,2023-11-15,fulfilled
700,FUE-500,Supplier A,NY,66,5760,2023-10-04,2023-10-23,2023-11-14,fulfilled
701,ENG-100,Supplier A,CA,90,4480,2023-10-12,2023-11-16,2023-12-03,fulfilled
702,TRN-100,Supplier B,CA,86,2996,2023-10-22,2023-11-21,2023-11-26,fulfilled
703,HYD-100,Supplier A,CA,89,980,2023-10-26,2023-11-22,2023-12-11,fulfilled
704,FAX-100,Supplier A,IL,90,1120,2023-10-21,2023-11-18,2023-12-02,fulfilled
705,RAX-100,Supplier D,CA,88,1330,2023-10-26,2023-11-20,2023-12-31,fulfilled
706,CAB-100,Supplier E,IL,87,1901.2,2023-10-29,2023-11-26,2023-12-16,fulfilled
707,ECU-100,Supplier A,FL,94,420,2023-11-07,2023-11-25,2023-12-14,fulfilled
708,TIR-100,Supplier D,TX,91,665,2023-11-03,2023-11-20,2023-11-27,fulfilled
709,PTO-100,Supplier C,CA,82,554.4,2023-10-31,2023-11-21,2023-11-21,fulfilled
710,FUE-100,Supplier B,IL,96,359.52,2023-10-27,2023-11-18,2023-12-05,fulfilled
711,ENG-200,Supplier A,CA,104,9280,2023-10-18,2023-11-22,2023-11-30,fulfilled
712,TRN-200,Supplier B,FL,117,6206,2023-10-22,2023-11-21,2023-11-29,fulfilled
713,HYD-200,Supplier A,IL,101,2030,2023-10-28,2023-11-24,2023-12-12,fulfilled
714,FAX-200,Supplier D,FL,99,2204,2023-10-31,2023-11-25,2023-12-16,fulfilled
715,RAX-200,Supplier D,IL,108,2755,2023-10-27,2023-11-21,2023-11-21,fulfilled
716,CAB-200,Supplier E,CA,105,3938.2,2023-10-19,2023-11-16,2023-12-03,fulfilled
717,ECU-200,Supplier A,IL,102,870,2023-11-08,2023-11-26,2023-12-25,fulfilled
718,TIR-200,Supplier B,FL,98,1551.5,2023-11-06,2023-11-20,2023-12-07,fulfilled
719,PTO-200,Supplier C,NY,107,1148.4,2023-10-29,2023-11-19,2023-12-05,fulfilled
720,FUE-200,Supplier A,FL,110,696,2023-11-02,2023-11-21,2023-12-18,fulfilled
721,ENG-300,Supplier A,NY,84,23200,2023-10-20,2023-11-24,2023-12-02,fulfilled
722,TRN-300,Supplier E,CA,85,14065,2023-10-11,2023-11-16,2023-12-07,fulfilled
723,HYD-300,Supplier A,TX,81,5075,2023-10-22,2023-11-18,2023-12-13,fulfilled
724,FAX-300,Supplier A,FL,94,5800,2023-10-28,2023-11-25,2023-12-14,fulfilled
725,RAX-300,Supplier B,CA,85,7757.5,2023-10-25,2023-11-22,2023-11-27,fulfilled
726,CAB-300,Supplier E,CA,82,9845.5,2023-10-29,2023-11-26,2023-12-05,fulfilled
727,ECU-300,Supplier C,CA,84,2153.25,2023-10-30,2023-11-20,2023-12-09,fulfilled
728,TIR-300,Supplier D,NY,83,3443.75,2023-11-04,2023-11-21,2023-12-23,fulfilled
729,PTO-300,Supplier C,FL,79,2871,2023-11-05,2023-11-26,2023-12-04,fulfilled
730,FUE-300,Supplier A,NY,86,1740,2023-11-07,2023-11-26,2023-12-11,fulfilled
731,ENG-400,Supplier B,CA,113,45368,2023-10-15,2023-11-22,2023-12-08,fulfilled
732,TRN-400,Supplier E,CA,117,25705,2023-10-20,2023-11-25,2023-12-15,fulfilled
733,HYD-400,Supplier E,CA,105,8996.75,2023-10-25,2023-11-18,2023-12-10,fulfilled
734,FAX-400,Supplier D,CA,124,10070,2023-10-26,2023-11-20,2023-12-12,fulfilled
735,RAX-400,Supplier B,NY,119,14177.5,2023-10-24,2023-11-21,2023-11-25,fulfilled
736,CAB-400,Supplier C,TX,124,18364.5,2023-10-18,2023-11-18,2023-12-07,fulfilled
737,ECU-400,Supplier A,IL,124,3975,2023-11-06,2023-11-24,2023-12-23,fulfilled
738,TIR-400,Supplier B,CA,118,7088.75,2023-11-06,2023-11-20,2023-12-01,fulfilled
739,PTO-400,Supplier D,IL,113,5035,2023-10-25,2023-11-18,2023-12-17,fulfilled
740,FUE-400,Supplier B,TX,115,3402.6,2023-10-26,2023-11-17,2023-11-21,fulfilled
741,ENG-500,Supplier B,TX,87,82176,2023-10-10,2023-11-17,2023-11-21,fulfilled
742,TRN-500,Supplier E,IL,95,46560,2023-10-13,2023-11-18,2023-11-23,fulfilled
743,HYD-500,Supplier C,FL,108,16632,2023-10-29,2023-11-19,2023-11-28,fulfilled
744,FAX-500,Supplier D,CA,93,18240,2023-11-01,2023-11-26,2023-12-07,fulfilled
745,RAX-500,Supplier B,NY,95,25680,2023-10-24,2023-11-21,2023-12-08,fulfilled
746,CAB-500,Supplier E,NY,98,32592,2023-10-23,2023-11-20,2023-11-20,fulfilled
747,ECU-500,Supplier C,FL,96,7128,2023-11-02,2023-11-23,2023-12-05,fulfilled
748,TIR-500,Supplier B,CA,104,12840,2023-11-06,2023-11-20,2023-12-04,fulfilled
749,PTO-500,Supplier D,TX,94,9120,2023-10-27,2023-11-20,2023-11-27,fulfilled
750,FUE-500,Supplier B,NY,89,6163.2,2023-10-27,2023-11-18,2023-11-23,fulfilled
751,ENG-100,Supplier B,NY,105,4793.6,2023-11-11,2023-12-19,2024-01-04,fulfilled
752,TRN-100,Supplier B,IL,102,2996,2023-11-17,2023-12-17,2024-01-02,fulfilled
753,HYD-100,Supplier A,FL,99,980,2023-11-24,2023-12-21,2024-01-05,fulfilled
754,FAX-100,Supplier D,CA,106,1064,2023-12-01,2023-12-26,2024-01-13,fulfilled
755,RAX-100,Supplier D,CA,96,1330,2023-11-30,2023-12-25,2023-12-29,fulfilled
756,CAB-100,Supplier E,NY,103,1901.2,2023-11-20,2023-12-18,2024-01-09,fulfilled
757,ECU-100,Supplier C,IL,106,415.8,2023-11-29,2023-12-20,2024-01-02,fulfilled
758,TIR-100,Supplier B,FL,94,749,2023-12-04,2023-12-18,2023-12-25,fulfilled
759,PTO-100,Supplier C,IL,101,554.4,2023-11-29,2023-12-20,2024-01-04,fulfilled
760,FUE-100,Supplier A,FL,103,336,2023-12-05,2023-12-24,2024-01-07,fulfilled
761,ENG-200,Supplier A,CA,114,9280,2023-11-12,2023-12-17,2024-01-01,fulfilled
762,TRN-200,Supplier B,IL,110,6206,2023-11-27,2023-12-27,2024-01-01,fulfilled
763,HYD-200,Supplier A,TX,119,2030,2023-11-30,2023-12-27,2024-01-20,fulfilled
764,FAX-200,Supplier D,NY,118,2204,2023-11-28,2023-12-23,2023-12-29,fulfilled
765,RAX-200,Supplier B,CA,110,3103,2023-11-22,2023-12-20,2024-01-05,fulfilled
766,CAB-200,Supplier C,TX,120,4019.4,2023-11-25,2023-12-26,2024-01-13,fulfilled
767,ECU-200,Supplier A,FL,113,870,2023-12-07,2023-12-25,2024-01-08,fulfilled
768,TIR-200,Supplier B,FL,113,1551.5,2023-12-03,2023-12-17,2023-12-27,fulfilled
769,PTO-200,Supplier C,IL,116,1148.4,2023-12-06,2023-12-27,2024-01-19,fulfilled
770,FUE-200,Supplier B,FL,117,744.72,2023-12-05,2023-12-27,2024-01-13,fulfilled
771,ENG-300,Supplier A,CA,88,23200,2023-11-18,2023-12-23,2024-01-02,fulfilled
772,TRN-300,Supplier B,CA,83,15515,2023-11-26,2023-12-26,2024-01-06,fulfilled
773,HYD-300,Supplier E,CA,81,4922.75,2023-11-23,2023-12-17,2023-12-20,fulfilled
774,FAX-300,Supplier A,FL,83,5800,2023-11-27,2023-12-25,2024-01-11,fulfilled
775,RAX-300,Supplier D,TX,86,6887.5,2023-11-27,2023-12-22,2024-01-05,fulfilled
776,CAB-300,Supplier E,NY,87,9845.5,2023-11-19,2023-12-17,2024-01-10,fulfilled
777,ECU-300,Supplier C,IL,80,2153.25,2023-12-02,2023-12-23,2023-12-26,fulfilled
778,TIR-300,Supplier B,TX,78,3878.75,2023-12-06,2023-12-20,2024-01-03,fulfilled
779,PTO-300,Supplier C,IL,68,2871,2023-11-28,2023-12-19,2024-01-05,fulfilled
780,FUE-300,Supplier E,CA,91,1687.8,2023-12-05,2023-12-21,2024-01-08,fulfilled
781,ENG-400,Supplier B,CA,96,45368,2023-11-14,2023-12-22,2024-01-08,fulfilled
782,TRN-400,Supplier B,FL,112,28355,2023-11-21,2023-12-21,2024-01-06,fulfilled
783,HYD-400,Supplier C,FL,106,9182.25,2023-12-05,2023-12-26,2023-12-30,fulfilled
784,FAX-400,Supplier D,FL,110,10070,2023-11-30,2023-12-25,2024-01-07,fulfilled
785,RAX-400,Supplier B,IL,111,14177.5,2023-11-24,2023-12-22,2023-12-27,fulfilled
786,CAB-400,Supplier E,IL,107,17993.5,2023-11-23,2023-12-21,2024-01-03,fulfilled
787,ECU-400,Supplier A,IL,106,3975,2023-12-04,2023-12-22,2023-12-28,fulfilled
788,TIR-400,Supplier B,TX,102,7088.75,2023-12-08,2023-12-22,2024-01-08,fulfilled
789,PTO-400,Supplier C,TX,108,5247,2023-11-30,2023-12-21,2023-12-30,fulfilled
790,FUE-400,Supplier E,IL,109,3084.6,2023-12-06,2023-12-22,2024-01-14,fulfilled
791,ENG-500,Supplier D,CA,110,72960,2023-11-06,2023-12-17,2023-12-23,fulfilled
792,TRN-500,Supplier C,IL,127,47520,2023-11-24,2023-12-27,2024-01-04,fulfilled
793,HYD-500,Supplier A,CA,127,16800,2023-11-21,2023-12-18,2024-01-16,fulfilled
794,FAX-500,Supplier D,CA,120,18240,2023-12-01,2023-12-26,2024-01-27,fulfilled
795,RAX-500,Supplier B,NY,120,25680,2023-11-28,2023-12-26,2024-01-02,fulfilled
796,CAB-500,Supplier E,CA,120,32592,2023-11-26,2023-12-24,2024-01-08,fulfilled
797,ECU-500,Supplier A,NY,118,7200,2023-11-30,2023-12-18,2024-01-02,fulfilled
798,TIR-500,Supplier B,NY,126,12840,2023-12-10,2023-12-24,2024-01-10,fulfilled
799,PTO-500,Supplier C,FL,133,9504,2023-11-28,2023-12-19,2023-12-26,fulfilled
800,FUE-500,Supplier E,FL,109,5587.2,2023-12-03,2023-12-19,2023-12-19,fulfilled
801,ENG-100,Supplier B,CA,79,4793.6,2023-12-12,2024-01-19,2024-02-01,fulfilled
802,TRN-100,Supplier C,CA,85,2772,2023-12-24,2024-01-26,2024-02-06,fulfilled
803,HYD-100,Supplier C,TX,81,970.2,2024-01-04,2024-01-25,2024-02-17,fulfilled
804,FAX-100,Supplier A,CA,82,1120,2023-12-27,2024-01-24,2024-02-01,fulfilled
805,RAX-100,Supplier D,CA,85,1330,2023-12-23,2024-01-17,2024-01-24,fulfilled
806,CAB-100,Supplier E,IL,92,1901.2,2023-12-22,2024-01-19,2024-02-07,fulfilled
807,ECU-100,Supplier A,CA,87,420,2024-01-01,2024-01-19,2024-01-23,fulfilled
808,TIR-100,Supplier B,IL,83,749,2024-01-04,2024-01-18,2024-01-25,fulfilled
809,PTO-100,Supplier C,IL,94,554.4,2024-01-03,2024-01-24,2024-02-06,fulfilled
810,FUE-100,Supplier E,FL,87,325.92,2024-01-01,2024-01-17,2024-01-19,fulfilled
811,ENG-200,Supplier A,IL,149,9280,2023-12-15,2024-01-19,2024-01-25,fulfilled
812,TRN-200,Supplier B,IL,152,6206,2023-12-23,2024-01-22,2024-01-26,fulfilled
813,HYD-200,Supplier C,FL,138,2009.7,2023-12-28,2024-01-18,2024-02-12,fulfilled
814,FAX-200,Supplier D,IL,133,2204,2024-01-01,2024-01-26,2024-02-04,fulfilled
815,RAX-200,Supplier D,IL,135,2755,2023-12-24,2024-01-18,2024-01-29,fulfilled
816,CAB-200,Supplier E,TX,138,3938.2,2023-12-22,2024-01-19,2024-02-08,fulfilled
817,ECU-200,Supplier A,FL,135,870,2024-01-03,2024-01-21,2024-02-04,fulfilled
818,TIR-200,Supplier B,NY,137,1551.5,2024-01-03,2024-01-17,2024-01-27,fulfilled
819,PTO-200,Supplier D,TX,131,1102,2023-12-30,2024-01-23,2024-02-03,fulfilled
820,FUE-200,Supplier E,CA,136,675.12,2024-01-10,2024-01-26,2024-01-29,fulfilled
821,ENG-300,Supplier B,IL,115,24824,2023-12-19,2024-01-26,2024-01-28,fulfilled
822,TRN-300,Supplier B,NY,119,15515,2023-12-20,2024-01-19,2024-01-21,fulfilled
823,HYD-300,Supplier C,TX,107,5024.25,2024-01-02,2024-01-23,2024-02-13,fulfilled
824,FAX-300,Supplier D,NY,114,5510,2023-12-27,2024-01-21,2024-01-29,fulfilled
825,RAX-300,Supplier D,TX,114,6887.5,2023-12-23,2024-01-17,2024-02-07,fulfilled
826,CAB-300,Supplier E,FL,117,9845.5,2023-12-20,2024-01-17,2024-01-21,fulfilled
827,ECU-300,Supplier A,FL,122,2175,2024-01-04,2024-01-22,2024-01-22,fulfilled
828,TIR-300,Supplier B,IL,114,3878.75,2024-01-04,2024-01-18,2024-02-01,fulfilled
829,PTO-300,Supplier C,FL,118,2871,2023-12-28,2024-01-18,2024-02-05,fulfilled
830,FUE-300,Supplier E,TX,104,1687.8,2024-01-09,2024-01-25,2024-02-23,fulfilled
831,ENG-400,Supplier A,FL,110,42400,2023-12-22,2024-01-26,2024-02-12,fulfilled
832,TRN-400,Supplier B,NY,114,28355,2023-12-28,2024-01-27,2024-02-12,fulfilled
833,HYD-400,Supplier E,FL,112,8996.75,2023-12-27,2024-01-20,2024-01-23,fulfilled
834,FAX-400,Supplier D,NY,111,10070,2024-01-01,2024-01-26,2024-02-02,fulfilled
835,RAX-400,Supplier D,CA,114,12587.5,2023-12-28,2024-01-22,2024-02-02,fulfilled
836,CAB-400,Supplier C,TX,118,18364.5,2023-12-20,2024-01-20,2024-02-04,fulfilled
837,ECU-400,Supplier A,NY,106,3975,2024-01-02,2024-01-20,2024-02-02,fulfilled
838,TIR-400,Supplier D,FL,105,6293.75,2024-01-08,2024-01-25,2024-01-29,fulfilled
839,PTO-400,Supplier C,IL,111,5247,2023-12-29,2024-01-19,2024-02-03,fulfilled
840,FUE-400,Supplier A,CA,126,3180,2024-01-04,2024-01-23,2024-02-13,fulfilled
841,ENG-500,Supplier A,FL,123,76800,2023-12-23,2024-01-27,2024-02-13,fulfilled
842,TRN-500,Supplier E,TX,117,46560,2023-12-19,2024-01-24,2024-02-11,fulfilled
843,HYD-500,Supplier C,NY,129,16632,2023-12-31,2024-01-21,2024-02-03,fulfilled
844,FAX-500,Supplier A,FL,125,19200,2023-12-25,2024-01-22,2024-02-06,fulfilled
845,RAX-500,Supplier B,NY,133,25680,2023-12-21,2024-01-18,2024-01-19,fulfilled
846,CAB-500,Supplier E,TX,122,32592,2023-12-23,2024-01-20,2024-02-07,fulfilled
847,ECU-500,Supplier A,TX,119,7200,2024-01-08,2024-01-26,2024-02-08,fulfilled
848,TIR-500,Supplier B,CA,136,12840,2024-01-11,2024-01-25,2024-02-09,fulfilled
849,PTO-500,Supplier D,IL,129,9120,2024-01-02,2024-01-26,2024-01-30,fulfilled
850,FUE-500,Supplier B,CA,128,6163.2,2024-01-05,2024-01-27,2024-02-10,fulfilled
851,ENG-100,Supplier A,IL,136,4480,2024-01-18,2024-02-22,2024-03-18,fulfilled
852,TRN-100,Supplier E,IL,143,2716,2024-01-20,2024-02-25,2024-03-16,fulfilled
853,HYD-100,Supplier E,IL,147,950.6,2024-01-26,2024-02-19,2024-03-04,fulfilled
854,FAX-100,Supplier A,IL,134,1120,2024-01-24,2024-02-21,2024-03-11,fulfilled
855,RAX-100,Supplier D,FL,125,1330,2024-01-25,2024-02-19,2024-03-06,fulfilled
856,CAB-100,Supplier C,IL,139,1940.4,2024-01-24,2024-02-24,2024-03-17,fulfilled
857,ECU-100,Supplier C,TX,152,415.8,2024-01-25,2024-02-15,2024-02-23,fulfilled
858,TIR-100,Supplier B,NY,145,749,2024-02-08,2024-02-22,2024-03-06,fulfilled
859,PTO-100,Supplier C,IL,138,554.4,2024-01-28,2024-02-18,2024-03-17,fulfilled
860,FUE-100,Supplier E,IL,174,325.92,2024-02-01,2024-02-17,2024-02-19,fulfilled
861,ENG-200,Supplier B,IL,145,9929.6,2024-01-13,2024-02-20,2024-03-02,fulfilled
